datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,776
2019-05-16 01:00:00,0.0,0.0,4.3,222,13.1,30,854
2019-05-16 02:00:00,0.0,0.0,4.9,242,14.3,30,855
2019-05-16 03:00:00,0.0,0.0,4.0,329,15.8,29,855
2019-05-16 04:00:00,0.0,0.0,2.7,342,16.9,29,855
2019-05-16 05:00:00,0.0,0.0,2.4,329,18.4,25,855
2019-05-16 06:00:00,0.0,0.0,2.4,321,19.9,22,854
2019-05-16 07:00:00,0.0,0.0,2.6,314,21.3,20,853
2019-05-16 08:00:00,0.0,0.0,3.0,330,22.0,19,853
2019-05-16 09:00:00,0.0,0.0,3.6,347,22.7,19,852
2019-05-16 10:00:00,0.0,0.0,4.1,5,23.3,18,851
2019-05-16 11:00:00,0.0,0.0,5.6,17,22.1,20,852
2019-05-16 12:00:00,0.0,0.0,7.2,31,20.8,21,853
2019-05-16 13:00:00,0.0,0.0,8.5,43,19.2,24,854
2019-05-16 14:00:00,0.0,0.0,8.2,49,17.5,26,855
2019-05-16 15:00:00,0.0,0.0,8.2,59,15.9,27,855
2019-05-16 16:00:00,0.0,0.0,7.6,67,14.3,29,856
2019-05-16 17:00:00,0.0,0.0,6.8,78,13.6,31,855
2019-05-16 18:00:00,0.0,0.0,6.9,86,13.0,33,855
2019-05-16 19:00:00,0.0,0.0,6.1,88,12.4,35,854
2019-05-16 20:00:00,0.0,0.0,5.9,87,11.5,35,854
2019-05-16 21:00:00,0.0,0.0,6.6,86,10.7,35,854
2019-05-16 22:00:00,0.0,0.0,8.1,89,9.8,33,854
2019-05-16 23:00:00,0.0,0.0,9.0,86,9.5,32,855
2019-05-17 00:00:00,0.0,0.0,9.7,83,9.3,32,856
2019-05-17 01:00:00,0.0,0.0,9.9,78,9.2,31,857
2019-05-17 02:00:00,0.0,0.0,10.5,75,10.4,28,857
2019-05-17 03:00:00,0.0,0.0,12.2,71,11.6,26,857
2019-05-17 04:00:00,0.0,0.0,13.1,69,12.8,23,857
2019-05-17 05:00:00,0.0,0.0,12.6,66,13.7,22,857
