datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,284
2019-05-16 01:00:00,0.1,0.0,2.9,173,7.6,71,982
2019-05-16 02:00:00,0.1,0.0,3.2,174,7.5,72,983
2019-05-16 03:00:00,0.1,0.0,3.1,176,7.4,72,984
2019-05-16 04:00:00,0.1,0.0,3.1,174,7.2,72,984
2019-05-16 05:00:00,0.0,0.0,2.9,169,7.5,71,984
2019-05-16 06:00:00,0.0,0.0,2.8,167,7.7,71,984
2019-05-16 07:00:00,0.0,0.0,2.7,162,7.9,70,984
2019-05-16 08:00:00,0.0,0.0,2.7,174,8.5,69,984
2019-05-16 09:00:00,0.0,0.0,2.8,186,9.2,67,983
2019-05-16 10:00:00,0.0,0.0,3.1,197,9.8,65,983
2019-05-16 11:00:00,0.0,0.0,3.5,205,10.1,64,983
2019-05-16 12:00:00,0.0,0.0,3.9,213,10.3,64,983
2019-05-16 13:00:00,0.0,0.0,4.3,223,10.5,64,983
2019-05-16 14:00:00,0.0,0.0,4.6,226,9.8,67,983
2019-05-16 15:00:00,0.0,0.0,4.6,229,9.1,72,983
2019-05-16 16:00:00,0.0,0.0,4.7,232,8.3,76,984
2019-05-16 17:00:00,0.0,0.0,4.8,233,7.8,79,983
2019-05-16 18:00:00,0.0,0.0,4.7,240,7.2,82,983
2019-05-16 19:00:00,0.0,0.0,4.8,246,6.7,83,983
2019-05-16 20:00:00,0.0,0.0,3.9,243,6.7,80,983
2019-05-16 21:00:00,0.0,0.0,3.0,263,6.8,79,983
2019-05-16 22:00:00,0.0,0.0,2.7,257,6.9,79,983
2019-05-16 23:00:00,0.0,0.0,2.7,259,6.8,79,983
2019-05-17 00:00:00,0.0,0.0,2.9,264,6.8,80,983
2019-05-17 01:00:00,0.0,0.0,3.6,270,7.2,79,984
2019-05-17 02:00:00,0.0,0.0,3.8,293,8.9,65,984
2019-05-17 03:00:00,0.0,0.0,3.8,315,10.3,52,984
2019-05-17 04:00:00,0.0,0.0,3.8,333,11.7,39,984
2019-05-17 05:00:00,0.0,0.0,4.0,337,12.6,35,984
2019-05-17 06:00:00,0.0,0.0,4.4,339,13.5,30,984
2019-05-17 07:00:00,0.0,0.0,5.0,342,14.4,25,984
2019-05-17 08:00:00,0.0,0.0,4.6,317,14.8,27,983
2019-05-17 09:00:00,0.0,0.0,4.0,296,15.1,29,983
2019-05-17 10:00:00,0.0,0.0,3.9,215,15.1,31,983
2019-05-17 11:00:00,0.0,0.0,3.5,288,15.1,31,983
2019-05-17 12:00:00,0.0,0.0,3.1,290,15.1,31,983
2019-05-17 13:00:00,0.0,0.0,2.8,297,15.1,31,984
2019-05-17 14:00:00,0.0,0.0,3.6,306,13.9,37,985
2019-05-17 15:00:00,0.0,0.0,3.9,323,12.4,43,986
2019-05-17 16:00:00,0.0,0.0,3.4,338,10.9,50,986
2019-05-17 17:00:00,0.0,0.0,2.3,0,9.6,52,987
2019-05-17 18:00:00,0.0,0.0,2.0,22,8.5,54,987
2019-05-17 19:00:00,0.0,0.0,1.9,35,7.4,55,987
2019-05-17 20:00:00,0.0,0.0,2.0,23,6.6,56,987
2019-05-17 21:00:00,0.0,0.0,2.2,4,5.8,58,987
2019-05-17 22:00:00,0.0,0.0,2.6,355,5.0,60,987
2019-05-17 23:00:00,0.0,0.0,2.7,11,4.9,60,988
2019-05-18 00:00:00,0.0,0.0,2.8,22,4.9,61,989
2019-05-18 01:00:00,0.0,0.0,3.0,34,5.2,61,989
2019-05-18 02:00:00,0.0,0.0,3.4,43,7.2,54,989
2019-05-18 03:00:00,0.0,0.0,3.9,54,9.1,48,990
2019-05-18 04:00:00,0.0,0.0,4.7,61,11.1,41,990
2019-05-18 05:00:00,0.0,0.0,4.9,73,12.8,36,989
2019-05-18 06:00:00,0.0,0.0,5.0,80,14.3,31,989
2019-05-18 07:00:00,0.0,0.0,4.9,86,15.8,26,988
2019-05-18 08:00:00,0.0,0.0,5.2,92,16.6,24,987
2019-05-18 09:00:00,0.0,0.0,5.4,97,17.3,21,986
2019-05-18 10:00:00,0.0,0.0,5.6,103,18.0,19,986
2019-05-18 11:00:00,0.0,0.0,5.5,101,18.0,19,985
2019-05-18 12:00:00,0.0,0.0,5.3,99,17.9,19,985
2019-05-18 13:00:00,0.0,0.0,5.1,97,17.7,19,985
2019-05-18 14:00:00,0.0,0.0,4.4,85,16.4,23,985
2019-05-18 15:00:00,0.0,0.0,4.0,72,14.9,28,985
2019-05-18 16:00:00,0.0,0.0,4.3,60,13.5,31,985
2019-05-18 17:00:00,0.0,0.0,4.2,51,12.2,35,985
2019-05-18 18:00:00,0.0,0.0,4.1,42,11.1,38,985
2019-05-18 19:00:00,0.0,0.0,3.9,36,9.7,42,985
2019-05-18 20:00:00,0.0,0.0,3.9,35,9.6,42,985
2019-05-18 21:00:00,0.0,0.0,3.6,34,9.5,42,985
2019-05-18 22:00:00,0.0,0.0,3.6,31,9.0,42,985
2019-05-18 23:00:00,0.0,0.0,3.9,31,8.8,42,985
2019-05-19 00:00:00,0.0,0.0,4.0,30,8.6,42,985
2019-05-19 01:00:00,0.0,0.0,3.7,26,8.6,41,985
2019-05-19 02:00:00,0.0,0.0,4.0,34,10.6,37,985
2019-05-19 03:00:00,0.0,0.0,4.0,38,12.4,32,985
2019-05-19 04:00:00,0.0,0.0,4.0,41,14.1,28,984
2019-05-19 05:00:00,0.0,0.0,4.0,43,15.9,24,984
2019-05-19 06:00:00,0.0,0.0,3.9,46,17.6,20,984
2019-05-19 07:00:00,0.0,0.0,3.6,51,19.3,16,983
2019-05-19 08:00:00,0.0,0.0,3.2,56,19.7,16,983
2019-05-19 09:00:00,0.0,0.0,2.9,60,20.1,17,982
2019-05-19 10:00:00,0.0,0.0,2.5,64,20.6,17,982
2019-05-19 11:00:00,0.0,0.0,2.3,60,20.9,17,981
2019-05-19 12:00:00,0.0,0.0,2.0,67,21.2,18,981
2019-05-19 13:00:00,0.0,0.0,2.0,68,21.3,18,980
2019-05-19 14:00:00,0.0,0.0,1.7,45,20.2,22,980
2019-05-19 15:00:00,0.0,0.0,1.4,14,18.9,25,980
2019-05-19 16:00:00,0.0,0.0,1.2,348,17.7,28,980
2019-05-19 17:00:00,0.0,0.0,1.1,304,16.5,32,980
