datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,3356
2019-05-16 01:00:00,0.0,0.0,1.6,104,3.3,69,768
2019-05-16 02:00:00,0.0,0.0,2.5,84,4.2,67,769
2019-05-16 03:00:00,0.0,0.0,3.1,74,4.9,65,769
2019-05-16 04:00:00,0.0,0.0,3.7,58,5.6,64,770
2019-05-16 05:00:00,0.0,0.0,3.5,43,6.1,60,770
2019-05-16 06:00:00,0.0,0.0,3.2,32,6.8,57,769
2019-05-16 07:00:00,0.0,0.0,3.2,20,7.3,54,769
2019-05-16 08:00:00,0.1,0.0,3.6,20,7.0,55,769
2019-05-16 09:00:00,0.1,0.0,3.0,16,6.7,55,769
2019-05-16 10:00:00,0.0,0.0,2.9,4,7.0,52,770
2019-05-16 11:00:00,0.0,0.0,3.2,8,6.4,49,770
2019-05-16 12:00:00,0.0,0.0,3.4,9,5.7,47,770
2019-05-16 13:00:00,0.0,0.0,3.3,7,5.0,46,771
2019-05-16 14:00:00,0.0,0.0,2.4,38,4.1,52,771
2019-05-16 15:00:00,0.0,0.0,2.1,82,3.0,58,772
2019-05-16 16:00:00,0.0,0.0,1.2,122,2.0,64,772
2019-05-16 17:00:00,0.0,0.0,1.8,104,1.6,66,772
2019-05-16 18:00:00,0.0,0.0,1.5,97,0.9,69,772
2019-05-16 19:00:00,0.0,0.0,1.8,84,0.5,71,772
2019-05-16 20:00:00,0.0,0.0,1.9,74,0.2,72,772
2019-05-16 21:00:00,0.0,0.0,1.7,61,0.1,72,772
2019-05-16 22:00:00,0.0,0.0,1.7,51,-0.1,73,772
2019-05-16 23:00:00,0.0,0.0,2.1,60,-0.3,73,773
2019-05-17 00:00:00,0.0,0.0,2.6,71,-0.4,74,774
2019-05-17 01:00:00,0.0,0.0,3.1,86,-0.7,73,775
2019-05-17 02:00:00,0.0,0.0,3.4,65,-0.1,68,775
2019-05-17 03:00:00,0.0,0.0,3.9,47,0.5,63,776
2019-05-17 04:00:00,0.0,0.0,4.0,29,1.2,58,776
2019-05-17 05:00:00,0.0,0.0,4.5,24,1.7,52,776
2019-05-17 06:00:00,0.0,0.0,4.8,17,2.4,45,775
2019-05-17 07:00:00,0.0,0.0,5.1,8,3.2,39,775
2019-05-17 08:00:00,0.0,0.0,5.0,8,3.9,38,774
2019-05-17 09:00:00,0.0,0.0,4.7,4,4.6,36,773
2019-05-17 10:00:00,0.0,0.0,4.8,1,5.2,35,773
2019-05-17 11:00:00,0.0,0.0,4.4,343,4.8,37,773
2019-05-17 12:00:00,0.0,0.0,3.5,327,4.2,39,774
2019-05-17 13:00:00,0.0,0.0,2.7,311,3.5,41,774
2019-05-17 14:00:00,0.0,0.0,3.1,299,2.5,45,775
2019-05-17 15:00:00,0.0,0.0,3.5,287,1.6,48,776
2019-05-17 16:00:00,0.0,0.0,3.1,276,0.6,50,777
2019-05-17 17:00:00,0.0,0.0,3.3,245,-0.2,53,778
2019-05-17 18:00:00,0.0,0.0,3.3,212,-0.9,55,779
2019-05-17 19:00:00,0.0,0.0,3.0,180,-1.6,56,779
2019-05-17 20:00:00,0.0,0.0,2.7,67,-2.3,57,780
2019-05-17 21:00:00,0.0,0.0,2.5,26,-3.0,58,781
2019-05-17 22:00:00,0.0,0.0,3.0,347,-3.5,59,781
2019-05-17 23:00:00,0.0,0.0,3.0,333,-3.6,54,782
2019-05-18 00:00:00,0.0,0.0,2.7,319,-3.6,48,783
2019-05-18 01:00:00,0.0,0.0,3.6,306,-3.5,43,784
2019-05-18 02:00:00,0.0,0.0,4.9,317,-2.4,36,783
2019-05-18 03:00:00,0.0,0.0,5.7,329,-1.4,30,783
2019-05-18 04:00:00,0.0,0.0,6.6,340,-0.5,24,783
2019-05-18 05:00:00,0.0,0.0,7.1,335,0.0,24,783
2019-05-18 06:00:00,0.0,0.0,7.6,333,0.5,25,783
2019-05-18 07:00:00,0.0,0.0,8.1,332,0.9,25,784
2019-05-18 08:00:00,0.0,0.0,8.2,336,1.3,22,784
2019-05-18 09:00:00,0.0,0.0,7.7,339,1.7,20,784
2019-05-18 10:00:00,0.0,0.0,7.5,342,2.1,18,784
2019-05-18 11:00:00,0.0,0.0,7.1,343,1.7,19,785
2019-05-18 12:00:00,0.0,0.0,6.5,345,1.2,21,786
2019-05-18 13:00:00,0.0,0.0,5.7,346,0.6,21,787
2019-05-18 14:00:00,0.0,0.0,4.8,327,0.0,24,787
2019-05-18 15:00:00,0.0,0.0,4.2,307,-0.6,27,787
2019-05-18 16:00:00,0.0,0.0,3.7,288,-1.1,29,787
2019-05-18 17:00:00,0.0,0.0,2.9,271,-1.6,32,788
2019-05-18 18:00:00,0.0,0.0,2.3,262,-2.2,34,788
2019-05-18 19:00:00,0.0,0.0,2.1,244,-2.7,37,788
2019-05-18 20:00:00,0.0,0.0,2.0,223,-2.1,34,787
2019-05-18 21:00:00,0.0,0.0,2.3,212,-1.6,32,787
2019-05-18 22:00:00,0.0,0.0,2.2,207,-1.0,29,786
2019-05-18 23:00:00,0.0,0.0,1.6,207,-0.5,27,785
2019-05-19 00:00:00,0.0,0.0,1.5,195,0.2,24,785
2019-05-19 01:00:00,0.0,0.0,1.1,190,1.5,20,784
2019-05-19 02:00:00,0.0,0.0,1.8,146,2.7,20,783
2019-05-19 03:00:00,0.0,0.0,2.5,136,3.8,21,783
2019-05-19 04:00:00,0.0,0.0,2.9,125,4.8,22,782
2019-05-19 05:00:00,0.0,0.0,3.0,118,6.0,23,782
2019-05-19 06:00:00,0.0,0.0,3.2,107,7.1,24,781
2019-05-19 07:00:00,0.0,0.0,3.1,98,8.3,25,780
2019-05-19 08:00:00,0.0,0.0,3.0,97,8.5,25,780
2019-05-19 09:00:00,0.0,0.0,2.9,96,8.7,25,779
2019-05-19 10:00:00,0.0,0.0,3.3,96,8.6,25,779
2019-05-19 11:00:00,0.0,0.0,3.0,101,8.7,25,778
2019-05-19 12:00:00,0.0,0.0,2.9,106,8.9,25,778
2019-05-19 13:00:00,0.0,0.0,2.5,108,8.8,25,777
2019-05-19 14:00:00,0.0,0.0,1.7,124,8.4,26,777
2019-05-19 15:00:00,0.0,0.0,1.6,156,8.3,26,776
2019-05-19 16:00:00,0.0,0.0,1.7,170,8.2,25,776
2019-05-19 17:00:00,0.0,0.0,1.4,182,8.0,24,775
