datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,2983
2019-05-16 01:00:00,0.0,0.0,3.0,174,8.2,72,831
2019-05-16 02:00:00,0.0,0.0,2.5,134,9.9,68,831
2019-05-16 03:00:00,0.0,0.0,2.3,22,11.5,63,831
2019-05-16 04:00:00,0.0,0.0,2.0,343,13.1,58,831
2019-05-16 05:00:00,0.0,0.0,2.4,344,13.8,57,830
2019-05-16 06:00:00,0.0,0.0,2.4,343,14.4,56,830
2019-05-16 07:00:00,0.0,0.0,2.4,342,15.0,55,829
2019-05-16 08:00:00,0.2,0.0,2.7,308,14.2,60,830
2019-05-16 09:00:00,0.2,0.0,3.5,272,13.6,64,831
2019-05-16 10:00:00,0.1,0.0,4.2,239,13.2,68,831
2019-05-16 11:00:00,0.1,0.0,3.5,219,12.6,71,832
2019-05-16 12:00:00,0.2,0.0,2.7,199,11.9,75,832
2019-05-16 13:00:00,0.2,0.0,2.1,176,11.4,78,832
2019-05-16 14:00:00,0.1,0.0,1.8,184,10.5,80,832
2019-05-16 15:00:00,0.1,0.0,1.9,190,9.5,81,832
2019-05-16 16:00:00,0.1,0.0,1.9,208,8.9,81,833
2019-05-16 17:00:00,0.2,0.0,1.7,218,8.4,83,833
2019-05-16 18:00:00,0.2,0.0,1.6,222,8.1,84,833
2019-05-16 19:00:00,0.2,0.0,1.3,228,7.8,85,833
2019-05-16 20:00:00,0.1,0.0,1.6,230,7.3,84,834
2019-05-16 21:00:00,0.1,0.0,2.0,155,6.9,82,834
2019-05-16 22:00:00,0.1,0.0,2.0,158,6.5,80,835
2019-05-16 23:00:00,0.0,0.0,1.9,159,5.8,80,835
2019-05-17 00:00:00,0.0,0.0,2.1,151,5.3,80,836
2019-05-17 01:00:00,0.0,0.0,2.1,141,5.1,82,836
2019-05-17 02:00:00,0.0,0.0,2.3,103,6.4,75,836
2019-05-17 03:00:00,0.0,0.0,2.5,69,7.3,73,837
2019-05-17 04:00:00,0.0,0.0,2.3,35,8.3,69,837
2019-05-17 05:00:00,0.0,0.0,2.0,34,8.9,66,836
2019-05-17 06:00:00,0.0,0.0,1.9,35,9.6,62,836
2019-05-17 07:00:00,0.0,0.0,1.9,37,10.2,59,835
2019-05-17 08:00:00,0.0,0.0,2.1,357,11.1,54,834
2019-05-17 09:00:00,0.0,0.0,2.3,317,12.0,51,834
2019-05-17 10:00:00,0.0,0.0,2.8,280,12.8,47,833
2019-05-17 11:00:00,0.0,0.0,2.6,285,12.7,46,834
2019-05-17 12:00:00,0.0,0.0,2.2,291,12.6,46,834
2019-05-17 13:00:00,0.0,0.0,1.8,297,12.5,47,834
2019-05-17 14:00:00,0.0,0.0,1.7,257,10.4,55,835
2019-05-17 15:00:00,0.0,0.0,2.3,211,8.1,61,836
2019-05-17 16:00:00,0.0,0.0,3.4,169,6.6,65,836
2019-05-17 17:00:00,0.0,0.0,3.6,168,6.1,57,837
2019-05-17 18:00:00,0.0,0.0,3.6,168,5.5,50,837
2019-05-17 19:00:00,0.0,0.0,3.2,167,4.6,43,837
2019-05-17 20:00:00,0.0,0.0,2.8,165,3.7,42,837
2019-05-17 21:00:00,0.0,0.0,2.5,162,3.0,41,837
2019-05-17 22:00:00,0.0,0.0,2.3,158,2.4,39,837
2019-05-17 23:00:00,0.0,0.0,2.4,156,2.6,40,837
2019-05-18 00:00:00,0.0,0.0,2.5,155,2.9,41,837
2019-05-18 01:00:00,0.0,0.0,2.6,151,3.6,45,837
2019-05-18 02:00:00,0.0,0.0,2.2,129,7.5,40,837
2019-05-18 03:00:00,0.0,0.0,2.0,100,10.7,35,836
2019-05-18 04:00:00,0.0,0.0,2.3,76,13.8,32,836
2019-05-18 05:00:00,0.0,0.0,3.1,69,15.2,30,835
2019-05-18 06:00:00,0.0,0.0,3.5,66,16.6,28,834
2019-05-18 07:00:00,0.0,0.0,3.9,63,18.0,26,833
2019-05-18 08:00:00,0.0,0.0,4.0,61,18.8,26,832
2019-05-18 09:00:00,0.0,0.0,4.2,59,19.5,26,831
2019-05-18 10:00:00,0.0,0.0,4.2,58,20.2,26,830
2019-05-18 11:00:00,0.0,0.0,3.4,23,19.8,34,830
2019-05-18 12:00:00,0.0,0.0,2.5,350,19.2,42,830
2019-05-18 13:00:00,0.0,0.0,1.0,314,18.5,51,830
2019-05-18 14:00:00,0.0,0.0,1.0,241,16.5,53,830
2019-05-18 15:00:00,0.0,0.0,2.8,234,15.1,47,830
2019-05-18 16:00:00,0.0,0.0,3.3,217,14.1,44,831
2019-05-18 17:00:00,0.0,0.0,3.3,202,12.7,42,831
2019-05-18 18:00:00,0.0,0.0,3.7,185,11.2,41,831
2019-05-18 19:00:00,0.0,0.0,3.8,168,9.7,40,831
2019-05-18 20:00:00,0.0,0.0,3.6,168,9.4,42,831
2019-05-18 21:00:00,0.0,0.0,3.5,167,9.4,43,832
2019-05-18 22:00:00,0.0,0.0,3.2,167,8.9,46,832
2019-05-18 23:00:00,0.0,0.0,2.9,169,8.7,48,832
2019-05-19 00:00:00,0.0,0.0,2.9,167,8.6,50,832
2019-05-19 01:00:00,0.0,0.0,3.0,166,9.1,52,833
2019-05-19 02:00:00,0.0,0.0,2.5,191,10.6,50,833
2019-05-19 03:00:00,0.0,0.0,1.8,219,12.0,50,833
2019-05-19 04:00:00,0.0,0.0,1.6,249,13.5,44,833
2019-05-19 05:00:00,0.0,0.0,2.0,281,15.2,41,833
2019-05-19 06:00:00,0.0,0.0,2.0,308,16.4,39,833
2019-05-19 07:00:00,0.0,0.0,1.6,330,17.7,37,833
2019-05-19 08:00:00,0.0,0.0,1.7,337,17.8,40,833
2019-05-19 09:00:00,0.0,0.0,1.9,348,18.0,43,833
2019-05-19 10:00:00,0.0,0.0,1.7,1,17.9,46,833
2019-05-19 11:00:00,0.0,0.0,1.9,15,17.9,50,832
2019-05-19 12:00:00,0.0,0.0,1.9,28,17.7,54,832
2019-05-19 13:00:00,0.0,0.0,1.0,34,17.6,57,832
2019-05-19 14:00:00,0.0,0.0,1.0,39,16.0,60,832
2019-05-19 15:00:00,0.0,0.0,1.0,112,14.6,60,832
2019-05-19 16:00:00,0.0,0.0,1.0,117,13.4,58,832
2019-05-19 17:00:00,0.0,0.0,0.8,143,12.0,58,832
