datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,2989
2019-05-16 01:00:00,0.0,0.0,2.3,103,16.4,26,891
2019-05-16 02:00:00,0.0,0.0,3.1,76,19.0,22,891
2019-05-16 03:00:00,0.0,0.0,3.7,71,21.6,18,891
2019-05-16 04:00:00,0.0,0.0,3.4,71,24.0,15,891
2019-05-16 05:00:00,0.0,0.0,2.3,71,25.4,13,890
2019-05-16 06:00:00,0.0,0.0,1.8,346,26.5,12,890
2019-05-16 07:00:00,0.0,0.0,1.2,329,27.7,11,889
2019-05-16 08:00:00,0.0,0.0,1.7,311,28.5,10,888
2019-05-16 09:00:00,0.0,0.0,2.2,291,29.3,10,888
2019-05-16 10:00:00,0.0,0.0,2.9,272,30.0,9,887
2019-05-16 11:00:00,0.0,0.0,3.6,286,29.9,9,887
2019-05-16 12:00:00,0.0,0.0,4.4,301,29.7,9,886
2019-05-16 13:00:00,0.0,0.0,5.0,316,29.4,9,886
2019-05-16 14:00:00,0.0,0.0,4.4,336,27.6,11,886
2019-05-16 15:00:00,0.0,0.0,4.2,356,25.7,13,887
2019-05-16 16:00:00,0.0,0.0,3.9,12,24.0,15,887
2019-05-16 17:00:00,0.0,0.0,4.0,20,22.7,18,888
2019-05-16 18:00:00,0.0,0.0,5.2,28,21.4,20,888
2019-05-16 19:00:00,0.0,0.0,5.5,49,19.9,24,889
2019-05-16 20:00:00,0.0,0.0,5.7,58,19.6,23,888
2019-05-16 21:00:00,0.0,0.0,5.1,66,19.2,22,888
2019-05-16 22:00:00,0.0,0.0,4.3,69,18.6,22,888
2019-05-16 23:00:00,0.0,0.0,3.8,77,18.1,24,889
2019-05-17 00:00:00,0.0,0.0,3.3,78,17.5,25,890
2019-05-17 01:00:00,0.0,0.0,3.3,79,16.9,27,890
2019-05-17 02:00:00,0.0,0.0,4.4,91,18.5,25,891
2019-05-17 03:00:00,0.0,0.0,4.4,100,20.0,23,891
2019-05-17 04:00:00,0.0,0.0,4.4,107,21.4,21,892
2019-05-17 05:00:00,0.0,0.0,4.5,113,22.8,19,892
2019-05-17 06:00:00,0.0,0.0,3.5,115,24.0,17,892
2019-05-17 07:00:00,0.0,0.0,3.6,128,25.1,16,892
2019-05-17 08:00:00,0.0,0.0,3.3,131,25.6,15,891
2019-05-17 09:00:00,0.0,0.0,2.7,133,26.1,15,891
2019-05-17 10:00:00,0.0,0.0,2.2,134,26.6,14,890
2019-05-17 11:00:00,0.0,0.0,2.7,108,26.6,14,890
2019-05-17 12:00:00,0.0,0.0,3.0,83,26.5,14,891
2019-05-17 13:00:00,0.0,0.0,3.1,345,26.4,13,891
2019-05-17 14:00:00,0.0,0.0,3.2,337,25.1,13,892
2019-05-17 15:00:00,0.0,0.0,3.3,328,23.6,13,893
2019-05-17 16:00:00,0.0,0.0,3.7,321,22.2,13,893
2019-05-17 17:00:00,0.0,0.0,3.8,41,20.9,17,894
2019-05-17 18:00:00,0.0,0.0,4.8,81,19.9,19,895
2019-05-17 19:00:00,0.0,0.0,5.2,115,18.7,22,896
2019-05-17 20:00:00,0.0,0.0,6.0,121,17.5,24,897
2019-05-17 21:00:00,0.0,0.0,6.4,123,16.3,25,898
2019-05-17 22:00:00,0.0,0.0,5.4,126,14.9,26,899
2019-05-17 23:00:00,0.0,0.0,5.4,127,14.2,27,900
2019-05-18 00:00:00,0.0,0.0,4.8,122,13.6,28,901
2019-05-18 01:00:00,0.0,0.0,5.5,124,13.2,28,903
2019-05-18 02:00:00,0.0,0.0,6.2,126,14.1,26,904
2019-05-18 03:00:00,0.0,0.0,6.5,125,15.1,25,904
2019-05-18 04:00:00,0.0,0.0,6.8,126,16.2,23,905
2019-05-18 05:00:00,0.0,0.0,6.8,125,17.6,20,905
2019-05-18 06:00:00,0.0,0.0,6.7,124,19.1,18,905
2019-05-18 07:00:00,0.0,0.0,6.3,122,20.6,15,905
2019-05-18 08:00:00,0.0,0.0,5.6,116,21.3,15,904
2019-05-18 09:00:00,0.0,0.0,5.0,112,22.0,14,904
2019-05-18 10:00:00,0.0,0.0,4.7,108,22.6,13,903
2019-05-18 11:00:00,0.0,0.0,4.9,110,22.6,12,904
2019-05-18 12:00:00,0.0,0.0,5.0,112,22.6,12,904
2019-05-18 13:00:00,0.0,0.0,5.2,112,22.5,12,904
2019-05-18 14:00:00,0.0,0.0,5.2,111,21.3,12,904
2019-05-18 15:00:00,0.0,0.0,4.8,111,20.0,12,905
2019-05-18 16:00:00,0.0,0.0,4.5,110,18.7,12,905
2019-05-18 17:00:00,0.0,0.0,4.6,110,17.5,12,906
2019-05-18 18:00:00,0.0,0.0,4.9,113,16.4,12,907
2019-05-18 19:00:00,0.0,0.0,5.0,113,15.2,11,907
2019-05-18 20:00:00,0.0,0.0,4.4,98,14.4,11,908
2019-05-18 21:00:00,0.0,0.0,3.9,82,13.7,12,908
2019-05-18 22:00:00,0.0,0.0,3.2,68,13.0,12,908
2019-05-18 23:00:00,0.0,0.0,3.1,38,12.3,14,908
2019-05-19 00:00:00,0.0,0.0,2.6,26,11.7,15,909
2019-05-19 01:00:00,0.0,0.0,1.9,12,11.3,15,909
2019-05-19 02:00:00,0.0,0.0,2.2,22,13.3,13,908
2019-05-19 03:00:00,0.0,0.0,2.7,25,15.2,11,908
2019-05-19 04:00:00,0.0,0.0,3.1,26,16.9,10,907
2019-05-19 05:00:00,0.0,0.0,2.7,16,18.8,10,907
2019-05-19 06:00:00,0.0,0.0,2.8,353,20.8,9,907
2019-05-19 07:00:00,0.0,0.0,3.2,338,22.4,9,906
2019-05-19 08:00:00,0.0,0.0,3.2,329,22.6,9,906
2019-05-19 09:00:00,0.0,0.0,3.0,328,23.0,9,905
2019-05-19 10:00:00,0.0,0.0,3.0,328,23.3,9,904
2019-05-19 11:00:00,0.0,0.0,2.7,326,23.7,10,904
2019-05-19 12:00:00,0.0,0.0,2.4,325,24.1,10,903
2019-05-19 13:00:00,0.0,0.0,2.2,319,24.4,10,902
2019-05-19 14:00:00,0.0,0.0,2.5,310,23.3,11,902
2019-05-19 15:00:00,0.0,0.0,2.8,304,22.0,13,903
2019-05-19 16:00:00,0.0,0.0,2.6,296,20.7,14,903
2019-05-19 17:00:00,0.0,0.0,2.3,285,19.5,16,903
