datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,620
2019-05-16 01:00:00,0.0,0.0,3.7,87,16.0,28,893
2019-05-16 02:00:00,0.0,0.0,2.3,163,18.0,25,893
2019-05-16 03:00:00,0.0,0.0,2.3,186,20.1,21,893
2019-05-16 04:00:00,0.0,0.0,2.5,207,22.2,17,893
2019-05-16 05:00:00,0.0,0.0,2.8,214,23.5,15,893
2019-05-16 06:00:00,0.0,0.0,3.0,220,24.7,14,892
2019-05-16 07:00:00,0.0,0.0,2.6,225,25.9,13,892
2019-05-16 08:00:00,0.0,0.0,2.6,249,26.5,12,891
2019-05-16 09:00:00,0.0,0.0,2.5,276,27.1,12,890
2019-05-16 10:00:00,0.0,0.0,2.9,305,27.8,11,890
2019-05-16 11:00:00,0.0,0.0,4.1,313,27.6,11,890
2019-05-16 12:00:00,0.0,0.0,4.6,320,27.2,11,890
2019-05-16 13:00:00,0.0,0.0,5.0,325,26.8,11,890
2019-05-16 14:00:00,0.0,0.0,4.3,343,25.4,13,890
2019-05-16 15:00:00,0.0,0.0,5.8,1,23.9,15,890
2019-05-16 16:00:00,0.0,0.0,6.5,11,22.8,16,890
2019-05-16 17:00:00,0.0,0.0,6.4,18,21.6,18,890
2019-05-16 18:00:00,0.0,0.0,5.7,26,20.5,19,890
2019-05-16 19:00:00,0.0,0.0,5.9,34,19.4,20,890
2019-05-16 20:00:00,0.0,0.0,6.2,48,18.6,21,890
2019-05-16 21:00:00,0.0,0.0,6.2,60,17.9,23,890
2019-05-16 22:00:00,0.0,0.0,6.0,73,17.1,24,890
2019-05-16 23:00:00,0.0,0.0,5.2,32,17.0,25,891
2019-05-17 00:00:00,0.0,0.0,4.4,351,16.8,26,892
2019-05-17 01:00:00,0.0,0.0,4.5,310,16.8,27,893
2019-05-17 02:00:00,0.0,0.0,4.2,296,18.6,24,893
2019-05-17 03:00:00,0.0,0.0,2.8,270,20.0,21,893
2019-05-17 04:00:00,0.0,0.0,2.6,249,21.5,19,894
2019-05-17 05:00:00,0.0,0.0,2.2,263,22.5,17,893
2019-05-17 06:00:00,0.0,0.0,2.5,276,23.6,14,893
2019-05-17 07:00:00,0.0,0.0,3.1,289,24.7,11,893
2019-05-17 08:00:00,0.0,0.0,3.7,294,25.1,9,893
2019-05-17 09:00:00,0.0,0.0,3.9,298,25.5,7,893
2019-05-17 10:00:00,0.0,0.0,4.0,300,25.8,6,893
2019-05-17 11:00:00,0.0,0.0,3.6,291,25.4,6,893
2019-05-17 12:00:00,0.0,0.0,3.0,299,24.9,7,893
2019-05-17 13:00:00,0.0,0.0,3.2,303,24.4,6,893
2019-05-17 14:00:00,0.0,0.0,4.0,328,23.0,7,894
2019-05-17 15:00:00,0.0,0.0,4.8,352,21.7,7,894
2019-05-17 16:00:00,0.0,0.0,5.3,16,20.4,7,895
2019-05-17 17:00:00,0.0,0.0,5.2,35,19.1,8,896
2019-05-17 18:00:00,0.0,0.0,4.1,55,17.7,8,897
2019-05-17 19:00:00,0.0,0.0,2.3,75,15.9,11,898
2019-05-17 20:00:00,0.0,0.0,3.3,89,15.4,13,899
2019-05-17 21:00:00,0.0,0.0,3.0,106,14.7,16,900
2019-05-17 22:00:00,0.0,0.0,2.7,123,13.9,20,901
2019-05-17 23:00:00,0.0,0.0,2.5,118,13.4,23,902
2019-05-18 00:00:00,0.0,0.0,2.4,112,12.9,26,903
2019-05-18 01:00:00,0.0,0.0,2.1,109,12.7,29,905
2019-05-18 02:00:00,0.0,0.0,1.8,135,14.3,27,906
2019-05-18 03:00:00,0.0,0.0,2.5,139,15.7,24,906
2019-05-18 04:00:00,0.0,0.0,2.4,139,16.9,22,907
2019-05-18 05:00:00,0.0,0.0,1.9,151,17.8,21,907
2019-05-18 06:00:00,0.0,0.0,1.5,167,19.0,19,907
2019-05-18 07:00:00,0.0,0.0,1.4,178,20.0,18,907
2019-05-18 08:00:00,0.0,0.0,1.1,203,20.8,17,907
2019-05-18 09:00:00,0.0,0.0,0.8,226,21.6,16,906
2019-05-18 10:00:00,0.0,0.0,0.8,246,22.1,15,905
2019-05-18 11:00:00,0.0,0.0,0.7,214,22.1,15,905
2019-05-18 12:00:00,0.0,0.0,0.8,180,22.1,15,905
