datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,2516
2019-05-16 01:00:00,0.0,0.0,1.6,128,14.6,40,878
2019-05-16 02:00:00,0.0,0.0,1.5,108,17.1,35,878
2019-05-16 03:00:00,0.0,0.0,1.3,78,19.8,29,878
2019-05-16 04:00:00,0.0,0.0,2.7,46,23.3,20,878
2019-05-16 05:00:00,0.0,0.0,2.6,45,24.8,18,878
2019-05-16 06:00:00,0.0,0.0,2.0,41,26.1,15,877
2019-05-16 07:00:00,0.0,0.0,1.7,30,27.3,13,876
2019-05-16 08:00:00,0.0,0.0,1.4,20,27.8,13,876
2019-05-16 09:00:00,0.0,0.0,1.4,16,28.3,12,875
2019-05-16 10:00:00,0.0,0.0,1.4,15,28.8,12,874
2019-05-16 11:00:00,0.0,0.0,2.2,360,28.5,12,874
2019-05-16 12:00:00,0.0,0.0,2.7,343,28.1,13,874
2019-05-16 13:00:00,0.0,0.0,3.1,329,27.7,13,874
2019-05-16 14:00:00,0.0,0.0,3.1,345,25.8,17,875
2019-05-16 15:00:00,0.0,0.0,4.5,7,23.9,18,876
2019-05-16 16:00:00,0.0,0.0,6.0,22,22.1,20,876
2019-05-16 17:00:00,0.0,0.0,6.2,27,21.2,20,876
2019-05-16 18:00:00,0.0,0.0,6.1,30,20.6,19,876
2019-05-16 19:00:00,0.0,0.0,5.7,30,19.8,19,876
2019-05-16 20:00:00,0.0,0.0,5.6,31,18.9,20,876
2019-05-16 21:00:00,0.0,0.0,4.9,33,17.8,21,876
2019-05-16 22:00:00,0.0,0.0,3.3,34,16.7,22,876
2019-05-16 23:00:00,0.0,0.0,2.6,34,16.6,24,877
2019-05-17 00:00:00,0.0,0.0,2.8,30,16.6,24,877
2019-05-17 01:00:00,0.0,0.0,3.2,25,16.6,25,877
2019-05-17 02:00:00,0.0,0.0,4.6,26,18.9,22,877
2019-05-17 03:00:00,0.0,0.0,5.8,23,21.1,18,878
2019-05-17 04:00:00,0.0,0.0,6.7,21,23.4,15,878
2019-05-17 05:00:00,0.0,0.0,6.6,27,24.5,13,878
2019-05-17 06:00:00,0.0,0.0,6.3,29,25.6,12,878
2019-05-17 07:00:00,0.0,0.0,5.6,31,26.5,11,878
2019-05-17 08:00:00,0.0,0.0,5.1,19,26.9,10,877
2019-05-17 09:00:00,0.0,0.0,5.3,16,27.3,8,877
2019-05-17 10:00:00,0.0,0.0,4.9,13,27.7,7,877
2019-05-17 11:00:00,0.0,0.0,4.7,13,27.2,8,877
2019-05-17 12:00:00,0.0,0.0,4.7,18,26.7,9,878
2019-05-17 13:00:00,0.0,0.0,6.1,19,25.9,9,878
2019-05-17 14:00:00,0.0,0.0,5.3,19,24.1,11,879
2019-05-17 15:00:00,0.0,0.0,5.0,19,22.3,13,880
2019-05-17 16:00:00,0.0,0.0,4.6,19,20.5,16,881
2019-05-17 17:00:00,0.0,0.0,4.5,34,19.4,16,881
2019-05-17 18:00:00,0.0,0.0,3.8,51,18.3,17,882
2019-05-17 19:00:00,0.0,0.0,3.4,62,17.3,17,882
