datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,0.0,0.0,3.162,317.226,4.200,70.140,885.589
2019-05-16 01:00:00,0.0,0.0,2.506,307.039,4.526,68.762,886.200
2019-05-16 02:00:00,0.000800637877546,0.0,2.012,297.826,4.869,67.686,886.811
2019-05-16 03:00:00,0.000761507428251,0.0,1.538,290.216,5.268,66.453,887.423
2019-05-16 04:00:00,0.0084708398208,0.0,1.948,297.639,6.856,62.089,886.187
2019-05-16 05:00:00,0.0,0.0,2.621,311.791,8.648,57.015,884.951
2019-05-16 06:00:00,0.0,0.0,2.889,324.947,10.238,51.951,883.715
2019-05-16 07:00:00,0.0,0.0,2.933,322.732,10.377,51.116,883.777
2019-05-16 08:00:00,0.0,0.0,3.260,321.244,10.531,50.102,883.840
2019-05-16 09:00:00,0.0,0.0,3.704,323.331,10.546,48.787,883.902
2019-05-16 10:00:00,0.0,0.0,3.286,322.162,9.795,47.617,884.734
2019-05-16 11:00:00,0.0,0.0,3.039,318.242,9.046,47.400,885.565
2019-05-16 12:00:00,0.0,0.0,2.732,313.991,8.385,46.654,886.397
2019-05-16 13:00:00,0.0,0.0,2.636,309.071,7.696,49.743,886.998
2019-05-16 14:00:00,0.0,0.0,2.245,301.835,6.989,51.005,887.599
2019-05-16 15:00:00,0.0,0.0,1.611,291.722,6.311,53.215,888.199
2019-05-16 16:00:00,0.0,0.0,1.062,234.749,5.868,58.061,887.678
2019-05-16 17:00:00,0.0,0.0,0.872,235.109,5.466,63.155,887.156
2019-05-16 18:00:00,0.0,0.0,0.511,271.013,4.938,69.084,886.635
2019-05-16 19:00:00,0.0,0.0,1.376,265.747,4.687,66.815,886.995
2019-05-16 20:00:00,0.0,0.0,2.272,273.492,4.436,64.753,887.355
2019-05-16 21:00:00,0.0,0.0,2.848,282.335,4.160,62.838,887.715
2019-05-16 22:00:00,0.0,0.0,3.077,283.162,3.952,59.620,888.337
2019-05-16 23:00:00,0.0,0.0,2.967,278.442,3.694,57.393,888.959
2019-05-17 00:00:00,0.0,0.0,3.271,281.297,3.701,53.688,889.582
2019-05-17 01:00:00,0.0,0.0,3.194,282.492,4.706,50.356,889.626
2019-05-17 02:00:00,0.0,0.0,2.943,280.899,5.643,48.015,889.670
2019-05-17 03:00:00,0.0,0.0,3.283,283.129,6.614,46.573,889.714
2019-05-17 04:00:00,0.0,0.0,3.758,284.391,7.650,43.876,889.130
2019-05-17 05:00:00,0.0,0.0,4.269,287.031,8.627,41.395,888.546
2019-05-17 06:00:00,0.0,0.0,4.738,289.645,9.579,39.181,887.962
2019-05-17 07:00:00,0.0,0.0,5.114,292.072,9.320,42.015,888.335
2019-05-17 08:00:00,0.00100511312485,0.0,5.612,294.119,8.943,45.004,888.708
2019-05-17 09:00:00,0.00100511312485,0.0,5.770,295.504,8.417,48.484,889.081
2019-05-17 10:00:00,0.00475251674652,0.0,5.825,283.271,8.068,47.141,889.759
2019-05-17 11:00:00,0.0,0.0,5.656,271.439,7.751,45.204,890.437
2019-05-17 12:00:00,0.0,0.0,5.485,259.565,7.281,43.572,891.115
2019-05-17 13:00:00,0.0,0.0,4.615,252.085,6.631,46.023,891.752
2019-05-17 14:00:00,0.0,0.0,4.658,243.232,6.014,48.267,892.389
2019-05-17 15:00:00,0.0,0.0,4.457,239.201,5.475,50.002,893.026
2019-05-17 16:00:00,0.0,0.0,4.216,237.800,4.870,51.405,893.266
