stn_id,lat,lon
000,42.22757898,85.68062191
001,42.22757898,85.76162272
002,39.31154982,75.71752228
003,39.31154982,75.79852309
004,39.31154982,75.8795239
005,39.31154982,75.96052471
006,39.39255063,75.96052471
007,39.39255063,76.04152552
008,39.39255063,76.12252633
009,39.47355144,76.12252633
010,41.82257493,84.30360814
011,41.90357574,84.30360814
012,41.98457655,84.30360814
013,41.98457655,84.38460895
014,41.98457655,84.46560976
015,41.98457655,84.54661057
016,43.60459275,81.79258303
017,43.68559356,81.79258303
018,43.60459275,81.87358384
019,43.68559356,81.87358384
020,43.76659437,81.87358384
021,43.60459275,81.95458465
022,42.95658627,89.97366484
023,43.03758708,89.97366484
024,43.03758708,90.05466565
025,43.03758708,90.13566646
026,44.0095968,87.30063811
027,41.74157412,83.08859599
028,44.09059761,87.05763568
029,44.0095968,87.13863649
030,44.09059761,87.13863649
031,44.0095968,87.2196373
032,44.90060571,82.03558546
033,44.90060571,82.11658627
034,42.63258303,93.45669967
035,42.71358384,93.45669967
036,42.63258303,93.53770048
037,42.71358384,93.53770048
038,46.19661867,84.14160652
039,46.19661867,84.22260733
040,46.19661867,84.30360814
041,46.11561786,84.38460895
042,46.19661867,84.38460895
043,46.11561786,84.46560976
044,46.19661867,84.46560976
045,42.63258303,93.61870129
046,42.95658627,93.61870129
047,42.63258303,93.6997021
048,42.87558546,93.6997021
049,42.95658627,93.6997021
050,42.63258303,93.78070291
051,42.71358384,93.78070291
052,42.87558546,93.78070291
053,42.71358384,93.86170372
054,42.79458465,93.86170372
055,42.87558546,93.86170372
056,43.76659437,87.62464135
057,43.76659437,87.70564216
058,43.76659437,87.78664297
059,43.84759518,87.78664297
060,43.92859599,87.78664297
061,44.0095968,87.78664297
062,44.25259923,90.05466565
063,44.33360004,90.05466565
064,44.25259923,90.13566646
065,40.7695644,79.9295644
066,40.85056521,79.9295644
067,40.7695644,80.01056521
068,40.85056521,80.01056521
069,40.93156602,80.01056521
070,40.7695644,80.09156602
071,40.93156602,80.09156602
072,40.7695644,80.17256683
073,40.7695644,80.25356764
074,39.55455225,75.96052471
075,39.63555306,75.96052471
076,39.55455225,76.04152552
077,39.55455225,76.12252633
078,39.55455225,76.20352714
079,39.55455225,76.28452795
080,39.55455225,76.36552876
081,37.69153362,75.23151742
082,37.77253443,75.23151742
083,37.61053281,75.31251823
084,37.69153362,75.31251823
085,37.28652957,75.39351904
086,37.36753038,75.39351904
087,37.44853119,75.39351904
088,37.529532,75.39351904
089,37.61053281,75.39351904
090,37.28652957,75.47451985
091,43.1995887,88.59665107
092,43.11858789,88.67765188
093,43.1995887,88.67765188
094,43.11858789,88.75865269
095,43.11858789,88.8396535
096,43.92859599,87.62464135
097,44.17159842,80.7395725
098,44.25259923,80.7395725
099,44.17159842,80.82057331
100,44.25259923,80.82057331
101,36.80052471,81.63058141
102,36.80052471,81.71158222
103,36.80052471,81.79258303
104,36.80052471,81.87358384
105,42.71358384,89.6496616
106,42.79458465,89.6496616
107,42.71358384,89.73066241
108,42.79458465,89.73066241
109,44.8196049,89.00165512
110,44.90060571,89.00165512
111,44.98160652,89.00165512
112,44.73860409,89.08265593
113,44.8196049,89.08265593
114,44.90060571,89.08265593
115,44.98160652,89.08265593
116,44.73860409,89.16365674
117,44.8196049,89.16365674
118,45.54861219,84.87061381
119,45.54861219,84.95161462
