datetime,rain_sfc,snow_sfc,wspd_10,wdir_10,t_10,rh_10,p_10
2019-05-16 00:00:00,0.0,0.0,4.799,25.003,18.168,21.149,861.921
2019-05-16 01:00:00,0.0,0.0,5.232,28.128,20.211,18.667,861.873
2019-05-16 02:00:00,0.0,0.0,5.392,31.104,22.152,16.458,861.825
2019-05-16 03:00:00,0.0,0.0,5.359,35.122,24.003,14.391,861.777
2019-05-16 04:00:00,0.0,0.0,4.713,22.352,25.282,13.110,861.097
2019-05-16 05:00:00,0.0,0.0,3.922,10.828,26.518,11.882,860.418
2019-05-16 06:00:00,0.0,0.0,3.486,356.167,27.718,10.824,859.739
2019-05-16 07:00:00,0.0,0.0,3.305,288.729,28.310,10.217,859.089
2019-05-16 08:00:00,0.0,0.0,3.839,249.701,28.969,9.520,858.439
2019-05-16 09:00:00,0.0,0.0,3.879,214.374,29.557,8.797,857.789
2019-05-16 10:00:00,0.000170224811882,0.0,3.208,226.034,29.542,8.711,857.615
2019-05-16 11:00:00,6.93653710186e-05,0.0,2.432,237.353,29.470,8.669,857.441
2019-05-16 12:00:00,0.0221390351653,0.0,1.738,259.855,29.283,8.846,857.267
2019-05-16 13:00:00,0.0,0.0,5.382,301.197,27.304,10.795,858.094
2019-05-16 14:00:00,2.25752592087e-06,0.0,7.648,329.102,25.617,12.312,858.922
2019-05-16 15:00:00,0.0,0.0,8.475,357.538,23.992,13.724,859.749
2019-05-16 16:00:00,0.0,0.0,9.392,354.148,23.263,14.525,859.622
2019-05-16 17:00:00,0.0,0.0,9.730,350.860,22.589,15.188,859.495
2019-05-16 18:00:00,0.0,0.0,10.022,346.793,21.861,16.053,859.369
2019-05-16 19:00:00,0.0,0.0,9.896,345.234,21.324,16.489,859.249
2019-05-16 20:00:00,0.0,0.0,10.006,344.974,20.794,16.809,859.130
2019-05-16 21:00:00,0.00064554810524,0.0,9.917,344.344,20.350,16.916,859.010
2019-05-16 22:00:00,0.000392161309719,0.0,9.051,345.170,19.800,17.265,859.498
2019-05-16 23:00:00,0.0,0.0,8.185,344.279,19.067,18.115,859.985
2019-05-17 00:00:00,0.0,0.0,7.799,342.150,18.593,18.757,860.472
